Basque,Catalan,Dutch,Filipino,Finnish,French,German,Haitian Creole,Hindi,Indonesian,Italian,Lithuanian,Norwegian,Polish,Portuguese,Romanian,Spanish,Swedish,Turkish,Undefined,Vietnamese
2020-09-11,0,0,11,0,2,36,13,0,0,0,20,2,0,2,9,0,0,0,0,0,0
2020-09-12,0,1,9,0,0,28,10,0,0,0,13,1,0,2,5,0,0,0,0,0,0
2020-09-13,0,0,14,0,0,33,15,0,0,0,10,1,0,3,4,1,0,0,0,0,0
2020-09-14,0,0,11,0,1,64,15,0,0,0,13,1,0,3,6,0,0,0,0,0,0
2020-09-15,0,0,8,0,2,146,14,0,0,0,8,1,0,1,9,0,0,0,0,0,0
2020-09-16,0,0,7,0,2,119,12,0,0,0,8,0,0,3,19,0,0,0,0,0,0
2020-09-17,0,0,14,0,3,53,15,0,0,0,23,0,0,1,10,1,0,0,0,0,0
2020-09-18,0,0,3,0,1,40,9,0,0,0,44,1,0,1,5,0,0,0,0,0,0
2020-09-19,0,0,6,0,3,39,8,0,0,0,16,0,0,3,6,0,0,0,0,0,0
2020-09-20,0,0,9,0,0,39,7,0,0,0,11,0,0,3,10,0,0,0,0,0,0
2020-09-21,0,0,10,0,3,46,11,0,0,0,10,2,0,4,21,2,0,0,0,0,0
2020-09-22,0,0,15,0,0,49,14,0,0,0,9,2,0,4,11,0,0,0,0,0,0
2020-09-23,0,0,6,0,0,49,5,0,0,0,11,0,0,0,9,1,0,0,0,0,0
2020-09-24,0,0,18,0,0,40,12,0,0,0,12,0,0,3,5,1,0,0,0,0,0
2020-09-25,0,0,16,0,0,42,11,0,0,0,4,0,0,21,10,0,0,0,0,0,0
2020-09-26,0,0,17,0,1,30,9,0,0,0,6,1,0,15,5,0,0,0,0,0,0
2020-09-27,0,0,10,0,4,29,2,0,0,0,3,0,0,4,3,0,0,0,0,0,0
2020-09-28,0,0,15,0,0,33,15,0,0,0,7,0,0,5,8,1,0,0,0,0,0
2020-09-29,0,0,9,0,1,57,14,0,0,0,8,0,0,4,4,0,1,0,0,0,0
2020-09-30,0,0,14,0,1,37,9,0,0,0,6,2,0,11,7,0,0,0,0,0,0
2020-10-01,0,0,16,0,0,33,18,0,0,0,10,3,0,3,5,0,0,0,0,0,0
2020-10-02,0,0,19,0,2,42,14,0,0,0,16,3,0,2,4,0,1,0,0,0,0
2020-10-03,0,0,9,0,0,16,10,0,0,0,8,0,0,8,5,0,0,0,0,0,0
2020-10-04,0,0,4,0,0,18,9,0,0,0,10,1,0,5,2,0,0,0,0,0,0
2020-10-05,0,0,11,0,1,22,7,0,0,0,11,0,0,1,5,0,2,0,0,0,0
2020-10-06,0,0,12,0,1,24,12,0,0,0,10,0,0,6,7,0,0,0,0,0,0
2020-10-07,0,0,9,0,0,29,14,0,0,1,24,0,0,2,7,0,0,0,0,0,0
2020-10-08,0,0,8,0,2,16,7,0,0,0,16,0,0,8,6,2,0,0,0,0,0
2020-10-09,0,0,8,0,3,20,14,0,0,0,8,1,0,7,5,0,0,0,0,0,0
2020-10-10,0,0,14,0,1,22,11,0,0,0,21,1,0,7,2,0,1,0,0,0,0
2020-10-11,0,0,10,0,0,26,4,0,0,0,14,0,0,8,9,0,0,0,0,0,0
2020-10-12,0,0,11,0,1,31,7,0,0,0,11,2,0,10,3,0,0,0,0,0,0
2020-10-13,0,0,15,0,2,26,21,0,0,1,18,8,0,13,24,1,0,0,0,0,0
2020-10-14,0,0,10,0,1,40,15,0,0,0,15,1,0,12,11,0,0,0,0,0,0
2020-10-15,0,0,52,0,1,28,29,0,0,0,15,0,0,3,7,0,0,0,0,0,0
2020-10-16,0,0,81,0,3,20,10,0,0,0,6,2,0,2,7,1,0,0,0,0,0
2020-10-17,0,0,24,0,1,11,12,0,0,0,8,2,0,2,6,1,0,0,0,0,0
2020-10-18,0,0,10,0,0,13,13,0,0,0,11,1,0,2,5,0,0,0,0,0,0
2020-10-19,0,0,28,0,1,18,17,0,0,0,12,0,0,6,14,1,0,0,0,0,0
2020-10-20,0,0,24,0,0,20,14,0,0,0,28,1,0,9,28,1,1,0,0,0,0
2020-10-21,0,0,10,0,0,32,21,0,0,0,16,0,0,3,29,1,0,0,0,0,0
2020-10-22,0,0,20,0,2,15,15,0,0,0,13,1,0,8,10,0,0,0,0,0,0
2020-10-23,0,0,15,0,1,26,14,0,0,0,7,0,0,5,15,0,0,0,0,0,0
2020-10-24,0,0,12,0,1,13,13,0,0,0,7,0,0,4,10,0,0,0,0,0,0
2020-10-25,0,0,18,0,0,13,10,0,0,0,7,1,0,3,46,2,0,0,0,0,0
2020-10-26,0,0,15,0,2,19,12,0,0,0,7,1,0,6,15,2,0,0,0,0,0
2020-10-27,0,0,15,0,2,27,17,0,0,0,8,3,0,3,13,0,0,0,0,0,0
2020-10-28,0,0,15,1,0,20,14,0,0,0,10,2,0,3,12,0,0,1,0,0,0
2020-10-29,0,0,14,0,1,20,8,0,0,0,5,1,0,3,10,1,0,0,0,0,0
2020-10-30,0,0,13,0,0,20,11,0,0,0,8,0,0,5,13,0,0,0,0,0,0
2020-10-31,0,0,10,0,0,28,5,0,0,0,9,0,0,1,10,0,0,0,0,0,0
2020-11-01,0,0,11,0,0,25,16,0,0,0,9,0,0,1,5,0,0,0,0,0,0
2020-11-02,0,0,13,0,1,25,6,0,0,0,12,0,0,2,12,0,0,0,0,0,0
2020-11-03,0,0,13,0,0,16,4,0,0,0,6,1,0,2,20,2,0,0,0,0,0
2020-11-04,0,0,11,0,2,35,6,0,0,0,5,8,0,4,11,4,0,0,0,0,0
2020-11-05,0,0,7,0,2,25,11,0,0,0,10,9,0,3,20,2,0,0,0,0,0
2020-11-06,0,0,6,0,1,32,9,0,0,0,9,3,0,3,7,3,0,0,0,0,0
2020-11-07,0,0,3,0,2,26,10,0,0,0,13,2,0,6,11,0,0,0,0,0,0
2020-11-08,0,0,9,0,1,33,9,0,0,0,7,2,0,1,10,0,0,0,0,0,0
2020-11-09,0,0,10,0,1,47,12,0,0,0,10,1,0,4,18,1,0,0,0,0,0
2020-11-10,0,0,10,0,2,44,16,0,0,0,22,1,0,9,13,0,0,0,0,0,0
2020-11-11,0,0,9,0,1,88,20,0,0,0,14,1,0,6,16,0,0,0,0,0,0
2020-11-12,0,0,13,0,1,133,18,0,0,0,19,1,0,3,7,0,0,0,0,0,0
2020-11-13,0,0,18,0,1,86,17,0,0,0,15,1,0,2,16,0,0,0,0,0,0
2020-11-14,0,0,17,0,0,95,8,0,0,0,4,0,0,2,22,0,0,0,0,0,0
2020-11-15,0,0,9,1,0,60,10,0,0,0,12,0,0,2,6,0,0,0,0,0,0
2020-11-16,0,0,13,0,0,59,13,0,0,0,11,0,0,1,16,0,0,0,0,0,0
2020-11-17,0,0,13,0,0,63,16,0,0,0,14,1,0,4,12,0,0,0,0,0,0
2020-11-18,0,0,18,0,1,96,24,0,0,0,15,1,0,3,6,0,0,0,0,1,0
2020-11-19,0,0,28,0,0,56,27,0,0,0,15,1,0,2,9,0,0,0,0,0,0
2020-11-20,0,0,9,0,0,44,11,0,0,0,6,1,0,4,13,0,0,0,0,0,0
2020-11-21,0,0,12,0,1,25,5,0,0,0,8,0,0,2,6,1,0,0,0,0,0
2020-11-22,0,0,10,0,0,33,7,0,0,0,3,1,0,1,17,0,0,0,0,0,0
2020-11-23,0,0,14,0,1,41,18,0,0,0,16,1,0,1,5,0,0,0,0,0,0
2020-11-24,0,0,15,0,1,43,17,0,0,0,9,1,0,1,12,2,0,0,0,0,0
2020-11-25,0,0,6,0,1,65,7,0,0,0,3,1,0,2,36,0,0,0,0,0,0
2020-11-26,0,0,7,0,2,54,8,0,0,0,2,1,0,0,8,0,0,0,0,0,0
2020-11-27,0,0,3,0,1,53,10,0,0,0,4,0,0,6,7,0,0,0,0,0,0
2020-11-28,0,0,9,0,1,25,6,0,0,0,1,1,0,2,4,0,0,0,0,0,0
2020-11-29,0,0,7,0,1,43,7,0,0,0,8,0,0,1,10,0,0,0,0,0,0
2020-11-30,0,0,9,0,1,37,8,0,0,0,12,2,0,2,9,0,0,0,0,0,0
2020-12-01,0,0,2,1,2,33,12,0,0,0,17,0,0,0,11,0,0,0,0,0,0
2020-12-02,0,0,8,0,0,24,11,0,0,0,6,0,0,5,7,2,0,0,0,0,0
2020-12-03,0,0,14,0,2,25,13,0,0,0,9,2,0,0,10,1,0,0,0,0,0
2020-12-04,0,0,5,0,3,27,10,0,0,0,10,1,0,6,15,1,0,0,0,0,0
2020-12-05,0,0,4,0,0,25,7,0,0,0,9,1,0,0,9,0,0,0,0,0,0
2020-12-06,0,0,7,0,3,22,3,0,0,0,7,0,0,2,7,0,0,0,0,0,0
2020-12-07,0,0,20,0,10,40,20,0,0,0,8,0,0,1,14,0,0,0,0,0,0
2020-12-08,0,0,15,0,7,33,3,0,0,0,7,1,0,1,12,0,0,0,0,0,1
2020-12-09,0,0,12,0,1,31,10,0,0,0,8,0,0,4,10,1,0,0,0,0,0
2020-12-10,0,0,6,0,0,39,13,0,0,0,7,3,0,2,6,0,0,0,0,0,0
2020-12-11,0,0,6,0,1,37,7,0,0,0,2,0,0,3,5,0,0,0,0,0,0
2020-12-12,0,0,4,0,0,16,11,0,0,0,3,0,0,1,9,0,0,0,0,0,0
2020-12-13,0,0,22,0,1,21,22,0,0,0,6,0,0,1,10,2,0,0,0,0,0
2020-12-14,0,0,29,0,1,35,15,0,0,1,6,0,0,1,10,0,0,0,0,0,0
2020-12-15,0,0,9,0,1,40,12,0,0,0,7,0,0,2,12,0,0,0,0,0,0
2020-12-16,0,0,13,0,1,44,9,0,0,0,10,1,0,5,14,1,0,0,0,0,0
2020-12-17,0,0,8,0,1,49,21,0,0,0,7,0,0,1,17,1,0,0,0,0,0
2020-12-18,0,0,8,0,1,23,15,0,0,0,6,0,0,0,11,0,0,0,0,0,0
2020-12-19,0,0,2,0,1,33,10,0,0,0,5,3,0,4,9,0,0,0,0,0,0
2020-12-20,0,0,8,0,2,29,17,0,0,0,5,0,0,1,13,1,1,0,0,0,0
2020-12-21,0,0,12,0,1,51,9,0,0,0,12,0,0,6,3,1,0,0,0,0,0
2020-12-22,0,0,15,0,0,45,5,0,0,0,9,0,0,3,5,1,0,0,0,0,0
2020-12-23,0,0,10,0,0,35,11,0,0,0,9,1,0,3,7,1,1,0,0,0,0
2020-12-24,0,0,2,0,0,17,8,0,0,0,4,1,0,1,6,1,0,0,0,0,0
2020-12-25,0,0,9,0,0,24,6,0,0,0,4,1,0,2,3,1,0,0,0,0,0
2020-12-26,0,0,14,0,1,29,10,0,0,0,10,0,0,3,8,0,0,0,0,0,0
2020-12-27,0,0,11,0,2,49,17,0,0,0,26,0,0,7,13,0,0,0,0,0,0
2020-12-28,0,0,7,0,3,47,10,0,0,0,22,1,0,8,12,0,0,0,0,0,0
2020-12-29,0,0,9,0,1,56,10,0,0,0,23,0,0,6,10,0,0,0,0,0,0
2020-12-30,0,0,17,0,0,47,12,0,0,0,15,0,0,10,11,1,0,0,0,0,0
2020-12-31,0,0,8,0,2,38,11,0,0,0,9,0,0,1,2,1,0,0,0,0,0
2021-01-01,0,0,5,0,3,15,7,0,0,0,11,1,0,0,5,1,0,0,0,0,0
2021-01-02,0,0,11,0,2,38,8,0,0,0,13,0,0,4,8,0,0,0,0,0,0
2021-01-03,0,0,11,0,2,46,11,0,0,0,11,0,0,3,7,1,0,0,0,0,0
2021-01-04,0,0,19,0,2,84,9,1,0,0,22,0,0,1,23,1,0,0,0,0,0
2021-01-05,0,0,31,6,12,79,51,0,0,0,11,1,1,3,15,3,1,0,0,0,0
2021-01-06,0,0,12,2,6,76,21,0,0,0,18,1,0,1,17,1,0,0,0,0,0
2021-01-07,0,0,15,0,2,63,12,0,0,0,14,1,0,0,11,0,0,0,0,0,0
2021-01-08,0,0,14,0,1,39,12,0,0,0,13,0,0,5,12,1,0,0,0,0,0
2021-01-09,0,0,6,0,3,54,13,0,0,0,7,2,0,1,4,0,0,0,0,0,0
2021-01-10,0,0,9,0,3,35,8,0,0,0,12,1,0,0,10,0,0,0,0,0,0
2021-01-11,0,0,13,0,3,48,9,0,0,0,4,0,0,2,10,0,0,0,0,0,0
2021-01-12,0,0,6,0,0,55,11,0,0,0,9,0,0,2,10,2,0,0,0,0,0
2021-01-13,0,0,4,0,0,30,7,0,0,0,9,0,0,0,5,0,0,0,0,0,0
2021-01-14,0,0,7,0,1,37,8,0,0,0,7,0,0,0,5,0,0,0,0,0,0
2021-01-15,0,0,7,0,1,28,8,1,0,0,6,0,0,0,5,0,0,0,0,0,0
2021-01-16,0,0,8,0,0,22,6,0,0,0,13,1,0,2,7,0,0,0,0,0,0
2021-01-17,0,0,14,0,2,31,5,0,0,0,8,1,0,1,7,0,1,0,0,0,0
2021-01-18,0,0,12,0,0,27,10,0,0,0,5,0,0,0,11,1,0,0,0,0,0
2021-01-19,0,0,14,0,1,22,10,0,0,0,6,1,0,3,14,0,1,0,0,0,0
2021-01-20,0,0,12,0,1,8,8,0,0,0,4,0,0,0,17,3,0,0,0,0,0
2021-01-21,0,0,12,1,0,22,9,0,0,0,3,0,0,1,30,0,0,0,0,0,0
2021-01-22,0,0,12,0,0,27,5,0,0,0,7,0,0,0,19,1,0,0,0,0,0
2021-01-23,0,0,8,0,0,21,14,0,0,0,12,0,0,0,6,0,0,0,0,0,0
2021-01-24,0,0,20,0,1,18,4,0,0,0,4,0,0,1,4,0,0,0,0,0,0
2021-01-25,0,0,12,0,1,23,15,0,0,0,7,0,0,1,6,1,0,0,0,0,0
2021-01-26,0,0,7,0,2,21,7,0,0,0,6,1,0,0,5,0,0,0,0,0,0
2021-01-27,0,0,10,0,1,21,4,0,0,0,5,1,0,0,10,0,0,0,0,0,0
2021-01-28,0,0,9,0,1,20,5,0,0,0,5,0,0,0,11,0,0,0,0,0,0
2021-01-29,0,0,4,0,0,30,11,0,0,0,2,1,0,1,17,1,0,0,0,0,0
2021-01-30,0,0,6,0,0,18,4,0,0,0,6,1,0,1,15,0,0,0,0,0,0
2021-01-31,0,0,6,0,0,12,5,0,0,0,5,1,0,1,7,0,0,0,0,0,0
2021-02-01,0,0,5,0,0,19,5,0,0,0,11,0,0,1,5,0,0,0,0,0,0
2021-02-02,0,0,11,0,1,29,10,0,0,0,6,0,0,0,7,1,0,0,0,0,0
2021-02-03,0,0,5,0,0,23,9,0,0,0,23,3,0,1,4,0,0,0,0,0,0
2021-02-04,0,0,5,0,1,24,4,0,0,0,8,0,0,0,3,1,0,0,0,0,0
2021-02-05,0,0,6,0,1,18,8,0,0,0,6,0,0,1,7,1,0,0,0,0,0
2021-02-06,0,0,8,0,0,16,5,0,0,0,2,0,0,0,2,0,0,0,0,0,0
2021-02-07,0,0,8,0,0,4,5,0,0,0,7,0,0,1,5,0,0,0,0,0,0
2021-02-08,0,0,6,0,4,22,3,0,0,0,6,0,0,3,5,1,0,0,0,0,0
2021-02-09,0,0,4,0,0,22,3,0,0,0,6,0,0,2,3,0,0,0,0,0,0
2021-02-10,0,0,6,0,0,17,5,0,0,0,8,1,0,2,7,0,0,0,0,0,0
2021-02-11,0,0,4,0,0,13,4,0,0,0,7,0,0,1,4,0,0,0,0,0,0
2021-02-12,0,0,6,0,0,16,5,0,0,0,2,0,0,0,9,0,0,0,0,0,0
2021-02-13,0,0,2,0,0,11,3,0,0,0,2,0,0,1,5,0,0,0,0,0,0
2021-02-14,0,0,5,0,0,2,6,0,0,0,4,0,0,2,5,0,0,0,0,0,0
2021-02-15,0,0,8,0,0,26,7,0,0,0,9,0,0,1,6,0,0,0,0,0,0
2021-02-16,0,0,16,0,1,17,5,0,0,0,5,0,0,1,1,0,0,0,0,0,0
2021-02-17,0,0,8,0,0,7,4,0,0,0,24,0,0,0,1,0,0,0,0,0,0
2021-02-18,0,0,4,0,2,12,7,0,0,0,8,0,0,0,5,0,0,0,0,0,0
2021-02-19,0,0,4,0,0,15,11,0,0,0,7,0,0,0,3,0,0,0,0,0,0
2021-02-20,0,0,4,0,2,15,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2021-02-21,0,0,7,0,2,8,2,0,0,0,2,1,0,1,3,0,0,0,0,0,0
2021-02-22,0,0,1,0,1,14,7,0,0,0,6,0,0,1,1,0,0,0,0,0,0
2021-02-23,1,0,3,0,0,10,4,0,0,0,7,0,0,0,5,0,0,0,0,0,0
2021-02-24,0,0,8,0,2,17,7,0,0,0,4,0,0,0,14,0,0,0,0,0,0
2021-02-25,0,0,11,0,1,18,6,0,0,0,6,0,0,1,2,1,0,0,0,0,0
2021-02-26,0,0,2,0,2,19,8,0,0,0,11,1,0,2,13,0,0,0,0,0,0
2021-02-27,0,0,3,0,0,10,5,0,0,0,3,0,0,3,5,0,0,0,0,0,0
2021-02-28,0,0,4,0,1,10,14,0,0,0,11,0,0,0,4,0,0,0,0,0,0
2021-03-01,0,0,13,0,0,9,6,0,0,0,8,0,0,3,13,0,0,0,0,0,0
2021-03-02,0,0,4,0,0,14,3,0,0,0,5,1,0,2,4,0,0,0,0,0,0
2021-03-03,0,0,7,0,5,10,5,0,0,0,6,0,0,2,7,0,0,0,0,0,0
2021-03-04,0,0,3,0,0,18,4,0,0,0,2,1,0,1,13,1,0,0,0,0,0
2021-03-05,0,0,8,0,2,13,7,0,0,0,16,0,0,2,16,0,0,0,0,0,0
2021-03-06,0,0,6,0,0,8,2,0,0,0,9,1,0,1,9,0,0,0,0,0,0
2021-03-07,0,0,9,0,0,11,4,0,0,0,8,1,0,0,16,0,0,0,0,0,0
2021-03-08,0,0,9,0,1,4,6,0,0,0,10,0,0,0,9,0,1,0,0,0,0
2021-03-09,0,0,7,0,4,15,11,0,0,0,7,0,0,0,16,0,0,0,0,0,0
2021-03-10,0,0,4,0,1,13,5,0,0,0,6,0,0,1,10,0,0,0,0,0,0
2021-03-11,0,0,5,0,3,11,7,0,0,0,10,0,0,4,20,1,0,0,0,0,0
2021-03-12,0,0,3,0,1,14,7,0,0,0,4,0,0,0,9,1,0,0,0,0,0
2021-03-13,0,0,4,0,2,11,2,0,0,0,3,1,0,3,9,0,0,0,0,0,0
2021-03-14,0,0,4,0,2,22,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0
2021-03-15,0,0,11,0,1,10,8,0,0,0,1,0,0,0,13,0,0,0,0,0,0
2021-03-16,0,0,6,0,0,19,22,0,0,0,5,0,0,1,18,0,0,0,0,0,0
2021-03-17,0,0,8,0,1,14,3,0,0,0,5,0,0,4,16,0,0,0,0,0,0
2021-03-18,0,0,4,0,1,22,7,0,0,0,2,0,0,5,4,0,1,0,0,0,0
2021-03-19,0,0,4,1,3,9,10,0,0,0,5,0,0,1,15,0,0,0,0,0,0
2021-03-20,0,0,7,0,3,14,5,0,0,0,3,0,0,6,9,0,0,0,0,0,0
2021-03-21,0,0,5,0,3,11,4,0,0,0,3,0,0,3,7,0,0,0,0,0,0
2021-03-22,0,0,6,0,2,9,6,0,0,0,4,1,0,3,7,0,0,0,0,0,0
2021-03-23,0,0,2,0,2,9,5,0,0,0,2,0,0,4,10,0,0,0,0,0,0
2021-03-24,0,0,5,0,1,11,8,0,0,0,4,0,0,1,16,0,1,0,0,0,0
2021-03-25,0,0,4,0,1,22,7,0,0,0,2,0,0,1,6,1,0,0,0,0,0
2021-03-26,0,0,2,1,0,11,6,0,0,0,6,1,0,0,5,1,1,0,0,0,0
2021-03-27,0,0,9,0,1,8,4,0,0,0,3,0,0,1,8,0,0,0,0,0,0
2021-03-28,0,0,4,0,0,10,24,0,0,0,1,1,0,1,24,1,0,0,0,0,0
2021-03-29,0,0,4,0,1,10,9,0,0,0,6,0,0,7,56,0,0,0,0,0,0
2021-03-30,0,0,6,0,2,17,8,0,0,0,2,0,0,1,19,3,0,0,0,0,0
2021-03-31,0,0,5,0,2,13,9,0,0,0,7,3,0,1,12,0,0,0,0,0,0
2021-04-01,0,0,3,0,0,11,14,0,0,0,5,0,0,2,13,0,0,0,0,0,0
2021-04-02,0,0,3,0,1,13,7,0,0,0,6,0,0,3,4,0,0,0,0,0,0
2021-04-03,0,0,1,0,1,13,4,0,0,0,3,1,0,3,2,0,0,0,0,0,0
2021-04-04,0,0,2,0,0,6,1,0,0,0,2,2,0,0,3,0,0,0,0,0,0
2021-04-05,1,0,4,0,0,8,3,0,0,0,2,0,0,1,10,0,0,0,0,0,0
2021-04-06,0,0,9,0,2,10,6,0,0,0,2,0,0,2,6,0,1,0,0,0,0
2021-04-07,0,0,9,0,0,11,4,0,0,0,5,0,0,1,5,0,0,0,0,0,0
2021-04-08,0,0,12,0,2,20,3,0,0,0,0,2,0,1,7,0,0,0,0,0,0
2021-04-09,0,0,5,0,0,16,6,0,0,0,3,16,0,0,13,0,0,0,0,0,0
2021-04-10,0,0,4,0,2,16,4,0,0,0,1,1,0,1,4,0,0,0,0,0,0
2021-04-11,0,0,5,0,2,8,6,0,0,0,6,0,0,3,5,0,0,0,0,0,0
2021-04-12,0,0,20,0,3,9,5,0,0,0,4,0,0,1,5,0,0,0,0,0,0
2021-04-13,0,0,8,0,0,14,8,0,0,1,5,1,0,3,20,0,0,0,0,0,0
2021-04-14,0,0,2,0,0,8,3,0,0,0,9,1,0,2,11,0,0,0,0,0,0
2021-04-15,0,0,11,0,0,10,9,0,0,0,3,0,0,3,2,0,0,0,0,0,0
2021-04-16,0,0,9,0,2,20,7,0,0,0,1,0,0,2,4,0,0,0,0,0,0
2021-04-17,0,0,5,0,3,8,6,0,0,0,3,0,0,4,5,0,0,0,0,0,0
2021-04-18,0,0,5,0,2,12,1,0,0,0,5,0,0,3,4,1,0,0,0,0,0
2021-04-19,0,0,2,0,1,21,5,0,0,0,1,0,0,1,10,0,0,0,0,0,0
2021-04-20,0,0,8,0,2,18,10,0,0,0,4,1,0,0,8,1,0,0,0,0,0
2021-04-21,0,0,9,0,1,16,9,0,0,0,3,0,0,0,6,1,0,0,0,0,0
2021-04-22,0,0,10,0,1,25,6,0,0,0,10,0,0,0,6,1,0,0,0,0,0
2021-04-23,0,0,2,0,2,11,4,0,0,0,2,1,0,0,3,2,0,0,0,0,0
2021-04-24,0,0,3,0,1,10,6,0,0,0,5,0,0,0,6,0,0,0,0,0,0
2021-04-25,0,0,5,0,0,15,5,0,0,0,4,1,0,2,6,0,0,0,0,0,0
2021-04-26,0,0,13,0,0,12,6,0,0,0,1,1,0,2,6,0,0,0,0,0,0
2021-04-27,0,0,8,0,1,12,9,0,0,0,2,0,0,3,5,0,0,0,0,0,0
2021-04-28,0,0,7,0,0,14,8,0,0,0,6,1,0,1,62,0,0,0,0,0,0
2021-04-29,0,0,10,0,1,21,5,0,0,0,3,0,0,0,9,0,0,0,0,0,0
2021-04-30,0,0,9,0,1,15,5,0,0,0,5,0,0,3,5,1,0,0,0,0,0
2021-05-01,0,0,16,0,1,24,4,0,0,0,3,1,0,9,3,0,0,0,0,0,0
2021-05-02,0,0,9,0,0,12,5,0,0,1,3,0,0,1,5,1,0,0,0,0,0
2021-05-03,0,0,8,0,0,14,6,0,0,0,0,0,0,4,1,0,0,0,0,0,0
2021-05-04,0,0,7,0,1,9,11,0,0,0,0,0,0,4,7,2,0,0,0,0,0
2021-05-05,0,0,8,0,1,18,8,0,0,0,4,0,0,0,16,0,0,0,0,0,0
2021-05-06,0,0,6,0,1,11,6,0,0,0,3,0,0,3,12,0,0,0,0,0,0
2021-05-07,0,0,8,0,3,22,6,0,0,0,2,1,0,2,7,0,0,0,0,0,0
2021-05-08,0,0,11,0,1,14,3,0,0,0,5,0,0,2,0,0,0,0,0,0,0
2021-05-09,0,0,5,0,0,8,6,0,0,0,2,0,0,1,4,0,0,0,0,0,0
2021-05-10,0,0,7,0,4,16,9,0,0,0,6,1,0,1,6,1,0,0,0,0,0
2021-05-11,0,0,6,0,2,15,14,0,0,0,4,1,0,2,6,0,0,0,0,0,0
2021-05-12,0,0,7,0,3,22,8,0,0,1,6,0,0,4,5,0,0,0,0,0,0
2021-05-13,0,0,1,0,1,13,2,0,0,0,2,1,0,0,6,1,0,0,0,0,0
2021-05-14,0,0,6,0,1,22,15,0,0,0,1,1,0,1,9,0,0,0,0,0,0
